epoch,train_loss,train_acc,val_loss,val_acc
1,1.9862744145560447,0.2584776480064438,2.2498132261118493,0.2169172932330827
2,1.8544985330061619,0.31655255739025373,1.850479034732159,0.32030075187969925
3,1.7284587718381355,0.3729359645590012,1.6983222696117888,0.35526315789473684
4,1.6807449434440174,0.38461538461538464,1.883014326705072,0.2887218045112782
5,1.6327721965250543,0.40201369311316953,1.6412279050153,0.36165413533834584
6,1.5927834020619234,0.4134514699959726,1.7271776002152521,0.3609022556390977
7,1.5587482959572174,0.426258558195731,1.5540994454147223,0.42105263157894735
8,1.5011933647141167,0.44873137333870317,1.6406533210797418,0.4067669172932331
9,1.43291929607376,0.4724929520741039,1.5514366766563932,0.43082706766917295
10,1.3560175827612475,0.5118002416431736,1.5352314866575083,0.431203007518797
11,1.2676730247260197,0.5457108336689489,1.3603744535517872,0.4631578947368421
12,1.227341547417535,0.566008860249698,1.2034872651996469,0.568796992481203
13,1.2114169013917901,0.5695529601288764,1.1704549179937607,0.587218045112782
14,1.1926960310626789,0.5781715666532421,1.1424689545667261,0.5890977443609022
15,1.1670248057829773,0.5891260571888844,1.1377926640044478,0.5898496240601504
16,1.1470607936934412,0.5950865888038663,1.1736565110378696,0.5766917293233083
17,1.1398662399199044,0.5978252114377769,1.0607267009584527,0.6195488721804512
18,1.118080168907267,0.6087797019734192,1.2268920081002372,0.5642857142857143
19,1.1021148963940512,0.6149818767619815,1.0761577434109566,0.6146616541353384
20,1.0975179051373498,0.6137736608940797,1.0153963721784434,0.6432330827067669
21,1.0488100784611327,0.6318968989126057,0.9766386399591775,0.6552631578947369
22,1.0379623041151034,0.6389850986709625,1.0044369385654766,0.6477443609022556
23,1.02452379040213,0.6379379782521144,1.0383557506073686,0.6172932330827068
24,1.0299613001458932,0.6401933145388643,0.9551192738956078,0.6740601503759398
25,1.0190715037571343,0.6467176802255337,0.991820075816678,0.6575187969924812
26,1.0236351837038369,0.6440596053161498,0.9857216343843848,0.6571428571428571
27,1.0088896006813848,0.6478453483689086,0.9831772901061783,0.6541353383458647
28,0.9970203253323159,0.6521949254933548,0.939273460646321,0.674436090225564
29,0.9905870714496807,0.6548530004027386,0.9206988130296979,0.6718045112781955
30,0.9913555970462733,0.6526782118405156,0.988742592908386,0.6586466165413534
31,0.9641967720194204,0.66508256141764,0.9327933300706677,0.6789473684210526
32,0.9550663927174652,0.6701570680628273,0.9027648897099315,0.6864661654135338
33,0.9548159406543306,0.6691904953685058,0.923590205934711,0.6755639097744361
34,0.9484104618688193,0.6680628272251309,0.9100676513255987,0.6853383458646617
35,0.9533432020278789,0.6680628272251309,0.8851234189549783,0.7018796992481203
36,0.9374351550243192,0.6807893677003625,0.9106901930687122,0.6894736842105263
37,0.9471392450436343,0.6720096657269432,0.8934051741334729,0.6890977443609022
38,0.9451304311959723,0.6744260974627467,0.8923003371496846,0.6947368421052632
39,0.9420917525053313,0.6756343133306484,0.8883550644817209,0.693609022556391
40,0.9337671016427331,0.6770841723721305,0.8976616147765539,0.6909774436090226
41,0.9167772688982806,0.684655658477648,0.8652401400687999,0.6996240601503759
42,0.9160558751164258,0.684655658477648,0.8617105838947726,0.705639097744361
43,0.91723432293161,0.6856222311719694,0.8644869865331435,0.6984962406015037
44,0.9030319503608655,0.6912605718888442,0.8530871540083921,0.7037593984962406
45,0.9080133491209617,0.6861055175191301,0.8568048731725019,0.7078947368421052
46,0.9112715489337198,0.6890052356020943,0.8634553255891442,0.7075187969924812
47,0.9078548596503511,0.6864277084172372,0.8470902733336714,0.706015037593985
48,0.9010601303436273,0.6915022150624245,0.8567308250226473,0.7093984962406015
49,0.896440479969527,0.6881192106322996,0.8564959687397893,0.7
50,0.9045153569656661,0.6894079742247281,0.8497840985319668,0.7037593984962406
51,0.8908498644876807,0.6974627466774064,0.8435712035437276,0.7082706766917293
52,0.8877209735646442,0.6980265807490939,0.8511369733882129,0.7045112781954888
53,0.8904032196578027,0.6899718082964156,0.8415355373145943,0.7071428571428572
54,0.8955212282356696,0.6919049536850584,0.8509262726719218,0.7048872180451128
55,0.883521304699955,0.6973821989528796,0.8341198345772306,0.7154135338345865
