epoch,train_loss,train_acc,val_loss,val_acc
1,1.9959285704109202,0.2621828433346758,2.027366368573411,0.21879699248120302
2,1.883798768565485,0.3014095851792187,1.8862552782646695,0.3323308270676692
3,1.7749494897325433,0.3469190495368506,1.8543770350907978,0.29661654135338344
4,1.7012870653761618,0.3789770438985099,1.9937312316177482,0.3022556390977444
5,1.6600132186423373,0.39162303664921466,2.3292300459137536,0.2281954887218045
6,1.6235970107000584,0.4031413612565445,1.6932242137148865,0.374812030075188
7,1.6054590168567708,0.40926298832057995,1.5962947045950064,0.39360902255639096
8,1.5669567683412335,0.42078131292790977,1.6501066358465897,0.38609022556390976
9,1.520274612474384,0.43987112364075714,1.7573320969603115,0.3827067669172932
10,1.4342567860191981,0.46910994764397906,1.429294895408745,0.4443609022556391
11,1.322406424786648,0.5195328231977446,1.2682665122182746,0.5394736842105263
12,1.2853909092183753,0.5383004430124849,1.2375525526534346,0.5503759398496241
13,1.233316006950443,0.5643979057591623,1.15267727159916,0.5860902255639098
14,1.1923026238724534,0.575594039468385,1.112491818388602,0.6011278195488722
15,1.1790746329438528,0.5813129279097865,1.2094174765106431,0.5661654135338345
16,1.1418282344559245,0.5987917841320982,1.1502271429936688,0.6026315789473684
17,1.1212653971755404,0.6064438179621425,1.0818049355557091,0.6116541353383459
18,1.0979589453350378,0.6152235199355618,1.1964028037580332,0.5503759398496241
19,1.0714659540969136,0.6273862263391059,1.0210517849240983,0.6473684210526316
20,1.0574878998067752,0.6350382601691502,0.9702624843532878,0.6646616541353384
21,1.0145611092106162,0.6456705598066854,0.9963130580751519,0.643984962406015
22,0.9972714293641618,0.6538058799838905,0.9266504031374938,0.6759398496240602
23,0.9906983288026749,0.654691904953685,0.9769406582179823,0.6650375939849624
24,0.9748107273685226,0.662102295610149,0.920709893129822,0.6759398496240602
25,0.9701202746797271,0.6621828433346758,0.9266356986268123,0.6703007518796993
26,0.9530764283550107,0.6715263793797825,0.9213173015673358,0.6714285714285714
27,0.9549971381887236,0.6676600886024969,0.9030852539198739,0.6827067669172933
28,0.9512514817921135,0.6714458316552557,0.8740653262998824,0.6958646616541353
29,0.9360868810455116,0.6792589609343536,0.8933962982400019,0.6894736842105263
30,0.9254122839404171,0.6782118405155054,0.900357691327432,0.693609022556391
31,0.9097974229617508,0.6892468787756746,0.8756993620915521,0.6969924812030075
32,0.8996960351892502,0.6901329037454692,0.8544324231327028,0.7052631578947368
33,0.8939929833922998,0.6938380990737012,0.8527091823126141,0.7078947368421052
34,0.8810029381760848,0.7015706806282722,0.8338841911545374,0.7165413533834587
35,0.8934261772693092,0.6889246878775674,0.8557246978121592,0.6988721804511279
36,0.8787594034169597,0.6991542488924688,0.8485506718320058,0.7127819548872181
37,0.8659842728272207,0.6985098670962545,0.8342305292760519,0.7071428571428572
38,0.8736764103426263,0.697946033024567,0.8473428005562689,0.7052631578947368
39,0.869613157305754,0.7037454691904954,0.8490764502295874,0.7011278195488722
40,0.858169007685412,0.7035843737414418,0.8253680779521627,0.718421052631579
41,0.8499216569847894,0.7037454691904954,0.812064618723733,0.718796992481203
42,0.8428477367757551,0.7089005235602094,0.816115515303791,0.7157894736842105
43,0.8372317191577947,0.7139750302053967,0.8109754425242431,0.7161654135338346
44,0.835260166442063,0.717921868707209,0.8191957226373199,0.7161654135338346
45,0.8461029763141084,0.7126862666129682,0.8092989104134696,0.7206766917293234
46,0.8334044134909714,0.7159887233185662,0.807200102519272,0.7218045112781954
47,0.8269634860876439,0.7162303664921466,0.795524877892401,0.7236842105263158
48,0.8312185306391598,0.7188884414015304,0.8123780446841304,0.7199248120300752
49,0.8273424189656289,0.7177607732581555,0.8034468062838217,0.7233082706766917
50,0.8253792032089341,0.7199355618203785,0.8012021299591638,0.7221804511278196
51,0.8213656743783602,0.7180829641562626,0.7932871671547567,0.724812030075188
52,0.8187776106142297,0.719774466371325,0.7950073730676694,0.7233082706766917
53,0.8084521954356304,0.7231574708014499,0.7907688487741283,0.7263157894736842
54,0.8089406628739292,0.7206604913411196,0.7950901214341471,0.7278195488721805
55,0.7942308048351225,0.7314538864277084,0.7928014722981848,0.7289473684210527
